ID,Name,Team,Price,Role,Overseas,WK,Uncapped
127,S Midhun,RR,650000,AR,0,0,1
128,A Rahane,RR,950000,Bat,0,0,0
129,S Samson,RR,850000,Bat,0,1,0
130,J Saxena,RR,650000,AR,0,0,1
131,D Short,RR,850000,AR,1,0,0
132,B Stokes,RR,1000000,AR,1,0,0
133,R Tripathi,RR,850000,Bat,0,0,1
134,J Unadkat,RR,850000,Bowl,0,0,0
135,Z Khan,RR,700000,Bowl,1,0,0
136,V Kohli,RCB,1100000,Bat,0,0,0
137,M Ali,RCB,900000,AR,1,0,0
138,C Anderson,RCB,900000,AR,1,0,0
139,M Ashwin,RCB,750000,Bowl,0,0,1
140,Y Chahal,RCB,900000,Bowl,0,0,0
141,A Choudhary,RCB,750000,Bowl,0,0,1
142,C de Grandhomme,RCB,850000,AR,1,0,0
143,Q de Kock,RCB,950000,Bat,1,1,0
144,P Deshpande,RCB,750000,AR,0,0,1
145,AB de Villiers,RCB,1050000,Bat,1,0,0
146,A Joshi,RCB,650000,AR,0,0,1
147,S Khan,RCB,800000,Bat,0,0,1
148,K Khejroliya,RCB,700000,Bowl,0,0,1
149,B McCullum,RCB,950000,Bat,1,0,0
150,M Singh,RCB,800000,AR,0,0,0
151,M Siraj,RCB,800000,Bowl,0,0,0
152,P Negi,RCB,800000,AR,0,0,0
153,P Patel,RCB,850000,Bat,0,1,0
154,N Saini,RCB,700000,Bowl,0,0,1
155,T Southee,RCB,900000,Bowl,1,0,0
156,M Vohra,RCB,800000,Bat,0,0,1
157,W Sundar,RCB,900000,AR,0,0,0
158,C Woakes,RCB,950000,AR,1,0,0
159,U Yadav,RCB,900000,Bowl,0,0,0
160,T Agarwal,SRH,700000,Bat,0,0,1
161,K Ahmed,SRH,700000,AR,0,0,1
162,B Thampi,SRH,700000,Bowl,0,0,1
163,R Bhui,SRH,650000,Bat,0,0,1
164,B Sharma,SRH,750000,AR,0,0,1
165,C Brathwaite,SRH,850000,AR,1,0,0
166,A Hales,SRH,800000,Bat,1,0,0
167,S Dhawan,SRH,1000000,Bat,0,0,0
168,S Goswami,SRH,750000,Bat,0,0,1
169,M Hasan,SRH,650000,AR,0,0,1
170,D Hooda,SRH,800000,AR,0,0,1
171,C Jordan,SRH,850000,AR,1,0,0
172,S Kaul,SRH,750000,Bowl,0,0,1
173,B Kumar,SRH,1000000,Bowl,0,0,0
174,M Nabi,SRH,900000,AR,1,0,0
175,T Natarajan,SRH,700000,Bowl,0,0,1
176,M Pandey,SRH,900000,Bat,0,0,0
177,Y Pathan,SRH,900000,AR,0,0,0
178,R Khan,SRH,1000000,Bowl,1,0,0
179,S Baby,SRH,750000,Bat,0,0,1
180,W Saha,SRH,900000,Bat,0,1,0
181,Sandeep Sharma,SRH,850000,Bowl,0,0,0
182,S Al Hasan,SRH,900000,AR,1,0,0
183,B Stanlake,SRH,750000,Bowl,1,0,0
184,K Williamson,SRH,950000,Bat,1,0,0
